Years,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,totalCases
        Texas,,,,,,,,,,,,,,,,,,,,112306,,122155,,,,,,,,121684,113231,,,,,,,123984,118197,121474,833031
        Utah,,,,,,,,,,,,,,,,,,,,5869,,5314,,,,,,,,5998,5879,,,,,,,7515,7551,7553,45679
        Vermont,,,,,,,,,,,,,,,,,,,,676,,644,,,,,,,,837,815,,,,,,,1082,1155,1262,6471
        Virginia,,,,,,,,,,,,,,,,,,,,21626,,20939,,,,,,,,18195,17087,,,,,,,17811,17357,17753,130768
        Washington,,,,,,,,,,,,,,,,,,,,21716,,21258,,,,,,,,22412,21101,,,,,,,22483,23719,22377,155066
        West Virginia,,,,,,,,,,,,,,,,,,,,6336,,5035,,,,,,,,5554,5830,,,,,,,6564,5411,5674,40404
        Wisconsin,,,,,,,,,,,,,,,,,,,,12908,,12486,,,,,,,,14650,14142,,,,,,,18638,17365,17070,107259
        Wyoming,,,,,,,,,,,,,,,,,,,,1115,,1272,,,,,,,,1196,1104,,,,,,,1358,1226,1258,8529
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agency,Source,Table,Url,Direct Link,Updated,Update Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Federal Bureau of Investigation,"Uniform Crime Reporting Program, Crime in the United States, Table 1",,https://ucr.fbi.gov/crime-in-the-u.s/2018/crime-in-the-u.s.-2018/topic-pages/tables/table-1,,2019,Yearly ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported on: 12/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
